Date,Open*,High,Low,Close**,Volume,Market Cap
"Mar 17, 2018",8321.91,8346.53,7812.82,7916.88,4426149888,140833521664
"Mar 16, 2018",8322.91,8585.15,8005.31,8338.35,5289379840,140833898496
"Mar 15, 2018",8290.76,8428.35,7783.05,8300.86,6834429952,140275318784
"Mar 14, 2018",9214.65,9355.85,8068.59,8269.81,6438230016,155890532352
"Mar 13, 2018",9173.04,9470.38,8958.19,9194.85,5991139840,155168309248
"Mar 12, 2018",9602.93,9937.5,8956.43,9205.12,6457399808,162420637696
"Mar 11, 2018",8852.78,9711.89,8607.12,9578.63,6296370176,149716271104
"Mar 10, 2018",9350.59,9531.32,8828.47,8866.0,5386319872,158118674432
"Mar 09, 2018",9414.69,9466.35,8513.03,9337.55,8704190464,159184977920
"Mar 08, 2018",9951.44,10147.4,9335.87,9395.01,7186089984,168240807936
"Mar 07, 2018",10803.9,10929.5,9692.12,9965.57,8797910016,182630825984
"Mar 06, 2018",11500.1,11500.1,10694.3,10779.9,6832169984,194378252288
"Mar 05, 2018",11532.4,11704.1,11443.9,11573.3,6468539904,194902605824
"Mar 04, 2018",11497.4,11512.6,11136.1,11512.6,6084149760,194289254400
"Mar 03, 2018",11101.9,11528.2,11002.4,11489.7,6690570240,187581399040
"Mar 02, 2018",10977.4,11189.0,10850.1,11086.4,7620590080,185456082944
"Mar 01, 2018",10385.0,11052.3,10352.7,10951.0,7317279744,175427076096
"Feb 28, 2018",10687.2,11089.8,10393.1,10397.9,6936189952,180509966336
"Feb 27, 2018",10393.9,10878.5,10246.1,10725.6,6966179840,175536128000
"Feb 26, 2018",9669.43,10475.0,9501.73,10366.7,7287690240,163283419136
"Feb 25, 2018",9796.42,9923.22,9407.06,9664.73,5706939904,165406720000
"Feb 24, 2018",10287.7,10597.2,9546.97,9813.07,6917929984,173682327552
"Feb 23, 2018",9937.07,10487.3,9734.56,10301.1,7739500032,167745568768
"Feb 22, 2018",10660.4,11039.1,9939.09,10005.0,8040079872,179936477184
"Feb 21, 2018",11372.2,11418.5,10479.1,10690.4,9405339648,191926796288
"Feb 20, 2018",11231.8,11958.5,11231.8,11403.7,9926540288,189535830016
"Feb 19, 2018",10552.6,11273.8,10513.2,11225.3,7652089856,178054987776
"Feb 18, 2018",11123.4,11349.8,10326.0,10551.8,8744009728,187662860288
"Feb 17, 2018",10207.5,11139.5,10149.4,11112.7,8660880384,172191072256
"Feb 16, 2018",10135.7,10324.1,9824.82,10233.9,7296159744,170960158720
"Feb 15, 2018",9488.32,10234.8,9395.58,10166.4,9062540288,160025198592
"Feb 14, 2018",8599.92,9518.54,8599.92,9494.63,7909819904,145023090688
